1,Grupo A,2026-06-11T20:00:00Z,Mexico,South Africa,Estadio Azteca
2,Grupo A,2026-06-12T03:00:00Z,South Korea,Czechia,Estadio Akron
3,Grupo B,2026-06-12T20:00:00Z,Canada,Bosnia and Herzegovina,BMO Field
4,Grupo B,2026-06-13T20:00:00Z,Qatar,Switzerland,Levi's Stadium
5,Grupo C,2026-06-13T23:00:00Z,Brazil,Morocco,Gillette Stadium
6,Grupo C,2026-06-14T02:00:00Z,Haiti,Scotland,MetLife Stadium
7,Grupo D,2026-06-13T02:00:00Z,United States,Paraguay,SoFi Stadium
8,Grupo D,2026-06-14T05:00:00Z,Australia,Turkiye,BC Place
9,Grupo E,2026-06-14T18:00:00Z,Ivory Coast,Ecuador,Lincoln Financial Field
10,Grupo E,2026-06-15T00:00:00Z,Germany,Curacao,NRG Stadium
11,Grupo F,2026-06-14T21:00:00Z,Netherlands,Japan,AT&T Stadium
12,Grupo F,2026-06-15T03:00:00Z,Sweden,Tunisia,Estadio BBVA
13,Grupo G,2026-06-16T02:00:00Z,Iran,New Zealand,SoFi Stadium
14,Grupo G,2026-06-15T20:00:00Z,Belgium,Egypt,Lumen Field
15,Grupo H,2026-06-15T23:00:00Z,Saudi Arabia,Uruguay,Hard Rock Stadium
16,Grupo H,2026-06-15T17:00:00Z,Spain,Cape Verde,Mercedes-Benz Stadium
17,Grupo I,2026-06-16T20:00:00Z,France,Senegal,MetLife Stadium
18,Grupo I,2026-06-16T23:00:00Z,Iraq,Norway,Gillette Stadium
19,Grupo J,2026-06-17T02:00:00Z,Argentina,Algeria,Arrowhead Stadium
20,Grupo J,2026-06-17T05:00:00Z,Austria,Jordan,Levi's Stadium
21,Grupo K,2026-06-17T18:00:00Z,Portugal,DR Congo,NRG Stadium
22,Grupo K,2026-06-18T03:00:00Z,Uzbekistan,Colombia,Estadio Azteca
23,Grupo L,2026-06-18T00:00:00Z,Ghana,Panama,BMO Field
24,Grupo L,2026-06-17T21:00:00Z,England,Croatia,AT&T Stadium
25,Grupo A,2026-06-18T17:00:00Z,Czechia,South Africa,Mercedes-Benz Stadium
26,Grupo A,2026-06-19T02:00:00Z,Mexico,South Korea,Estadio Akron
27,Grupo B,2026-06-18T20:00:00Z,Switzerland,Bosnia and Herzegovina,SoFi Stadium
28,Grupo B,2026-06-18T23:00:00Z,Canada,Qatar,BC Place
29,Grupo C,2026-06-19T23:00:00Z,Scotland,Morocco,Lincoln Financial Field
30,Grupo C,2026-06-20T02:00:00Z,Brazil,Haiti,Gillette Stadium
31,Grupo D,2026-06-20T05:00:00Z,Turkiye,Paraguay,Levi's Stadium
32,Grupo D,2026-06-19T20:00:00Z,United States,Australia,Lumen Field
33,Grupo E,2026-06-20T21:00:00Z,Germany,Ivory Coast,BMO Field
34,Grupo E,2026-06-21T01:00:00Z,Ecuador,Curacao,Arrowhead Stadium
35,Grupo F,2026-06-20T18:00:00Z,Netherlands,Sweden,NRG Stadium
36,Grupo F,2026-06-21T05:00:00Z,Tunisia,Japan,Estadio BBVA
37,Grupo G,2026-06-21T20:00:00Z,Belgium,Iran,SoFi Stadium
38,Grupo G,2026-06-22T02:00:00Z,New Zealand,Egypt,BC Place
39,Grupo H,2026-06-21T23:00:00Z,Uruguay,Cape Verde,Hard Rock Stadium
40,Grupo H,2026-06-21T17:00:00Z,Spain,Saudi Arabia,Mercedes-Benz Stadium
41,Grupo I,2026-06-23T01:00:00Z,Norway,Senegal,MetLife Stadium
42,Grupo I,2026-06-22T22:00:00Z,France,Iraq,Lincoln Financial Field
43,Grupo J,2026-06-22T18:00:00Z,Argentina,Austria,AT&T Stadium
44,Grupo J,2026-06-23T04:00:00Z,Jordan,Algeria,Levi's Stadium
45,Grupo K,2026-06-23T18:00:00Z,Portugal,Uzbekistan,NRG Stadium
46,Grupo K,2026-06-24T03:00:00Z,Colombia,DR Congo,Estadio Akron
47,Grupo L,2026-06-23T21:00:00Z,England,Ghana,Gillette Stadium
48,Grupo L,2026-06-24T00:00:00Z,Panama,Croatia,BMO Field
49,Grupo A,2026-06-25T02:00:00Z,Czechia,Mexico,Estadio Azteca
50,Grupo A,2026-06-25T02:00:00Z,South Africa,South Korea,Estadio BBVA
51,Grupo B,2026-06-24T20:00:00Z,Switzerland,Canada,BC Place
52,Grupo B,2026-06-24T20:00:00Z,Bosnia and Herzegovina,Qatar,Lumen Field
53,Grupo C,2026-06-24T23:00:00Z,Scotland,Brazil,Hard Rock Stadium
